filiere_id,filiere_libelle,cod_aff_form,effectif_total_demandé,effectif_total_candidats,effectif_total_candidates,effectif_total_accepte,effectif_total_admis,effectif_total_admises,general,techno,pro,autre,capacite
3304,BUT - Gestion des entreprises et des administrations,9901,2297,1035,1262,130,57,73,54,66,0,10,130
2653,BUT - Métiers du multimédia et de l'internet,9902,1553,1065,488,80,70,10,35,30,0,15,80
1218,BUT - Techniques de commercialisation,9903,2508,1130,1378,75,20,55,27,33,0,15,82
3389,BUT - Génie civil - Construction durable,9905,2527,2035,492,98,77,21,37,49,0,12,96
2326,BUT - Informatique,9907,2471,2168,303,45,40,5,18,19,0,8,45
624,BUT - Métiers de la Transition et de l'Efficacité Énergétiques,9906,710,616,94,78,75,3,33,38,0,7,78
2653,BUT - Métiers du multimédia et de l'internet,9908,1790,1213,577,53,28,25,21,22,0,10,52
858,BUT - Génie mécanique et productique,6568,1069,969,100,68,66,2,33,19,0,16,104
3304,BUT - Gestion des entreprises et des administrations,6573,2479,1250,1229,162,78,84,70,73,1,18,168
2326,BUT - Informatique,6569,1497,1359,138,93,92,1,35,35,0,23,95
2718,BUT - Mesures physiques,6570,527,408,119,53,44,9,30,5,0,18,78
1300,BUT - Statistique et informatique décisionnelle,6572,606,495,111,57,52,5,30,5,0,22,56
1218,BUT - Techniques de commercialisation,6574,2686,1373,1313,161,78,83,80,68,1,12,158
2296,BUT - Chimie,4522,2042,828,1214,97,25,72,48,21,0,28,104
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,4528,4063,1055,3008,52,12,40,19,24,0,9,52
494,BUT - Génie biologique Parcours diététique et nutrition,4526,1444,317,1127,27,7,20,11,9,0,7,28
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,4527,1043,348,695,28,11,17,15,10,0,3,28
984,BUT - Génie électrique et informatique industrielle,4523,1520,1374,146,92,89,3,57,11,0,24,120
3304,BUT - Gestion des entreprises et des administrations,4529,5299,2655,2644,112,50,62,51,53,0,8,110
2326,BUT - Informatique,4524,2316,2102,214,119,110,9,54,53,0,12,120
1156,BUT - Mesures physiques (Seconde année possible en apprentissage),4525,1865,1436,429,97,80,17,62,12,0,23,104
1218,BUT - Techniques de commercialisation,4530,7269,3438,3831,105,43,62,52,52,0,1,106
2296,BUT - Chimie,4608,1431,524,907,67,30,37,35,16,0,16,72
332,BUT - Gestion administrative et commerciale des organisations,11351,3965,1712,2253,74,39,35,24,30,1,19,75
1318,BUT - Gestion administrative et commerciale des organisations - en distanciel,35790,522,221,301,12,6,6,1,4,0,7,14
86,BUT - Information communication Parcours communication des organisations (Seconde année possible en apprentissage),17505,2575,678,1897,43,5,38,13,18,0,12,40
345,BUT - Informatique (Seconde année possible en apprentissage),11349,3952,3501,451,87,76,11,27,39,1,20,88
3131,"BUT - Qualité, logistique industrielle et organisation",11350,784,554,230,44,29,15,17,16,2,9,48
3143,BUT - Science et génie des matériaux,22594,363,295,68,23,19,4,13,3,0,7,32
2296,BUT - Chimie,22593,643,285,358,37,17,20,14,13,0,10,60
332,BUT - Gestion administrative et commerciale des organisations,6666,752,374,378,64,28,36,16,28,2,18,62
116,BUT - Management de la Logistique et des Transports,6665,260,199,61,32,24,8,8,12,6,6,45
984,BUT - Génie électrique et informatique industrielle,8133,368,335,33,37,35,2,13,16,0,8,52
858,BUT - Génie mécanique et productique,8134,681,625,56,40,37,3,20,13,0,7,52
1345,BUT - Génie mécanique et productique - Trinational Mécatronique,8136,99,79,20,10,8,2,8,0,0,2,10
3304,BUT - Gestion des entreprises et des administrations,8140,1475,704,771,128,54,74,59,61,1,7,134
116,BUT - Management de la Logistique et des Transports,8141,451,336,115,51,39,12,17,25,1,8,54
2653,BUT - Métiers du multimédia et de l'internet,8142,1194,841,353,55,39,16,18,20,0,17,54
3143,BUT - Science et génie des matériaux,8135,339,277,62,33,24,9,14,6,0,13,36
2153,BUT - Génie biologique Parcours agronomie,6303,715,308,407,46,20,26,32,3,0,11,56
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,6305,2084,563,1521,50,11,39,23,16,0,11,52
494,BUT - Génie biologique Parcours diététique et nutrition,6301,1023,218,805,27,4,23,13,8,0,6,28
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,6304,696,237,459,56,18,38,33,9,0,14,56
3382,BUT - Génie chimique génie des procédés,6296,678,358,320,46,25,21,31,5,0,10,84
